Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2022,3,5,3/31/22,22,Crop_Chemicals,146132.069,14109.209,9,16236.89656,1567.689889
2022,4,2,4/8/22,6,Wheat,48588.277,163875.979,6,8098.046167,27312.66317
2022,4,2,4/8/22,6,Fertilizers,393689.038,640751.328,6,65614.83967,106791.888
2022,4,2,4/8/22,6,Crop_Chemicals,113492.103,11646.69,6,18915.3505,1941.115
2022,4,3,4/15/22,10,Wheat,22063.252,66163.57,4,5515.813,16540.8925
2022,4,3,4/15/22,10,Fertilizers,465520.612,754842.627,4,116380.153,188710.6568
2022,4,3,4/15/22,10,Crop_Chemicals,76173.059,7438.31,4,19043.26475,1859.5775
2022,4,4,4/22/22,14,Wheat,35833.946,120363.45,4,8958.4865,30090.8625
2022,4,4,4/22/22,14,Fertilizers,465051.491,691621.754,4,116262.8728,172905.4385
2022,4,4,4/22/22,14,Crop_Chemicals,70324.956,7431.421,4,17581.239,1857.85525
2022,4,5,4/29/22,19,Wheat,56646.352,164846.992,5,11329.2704,32969.3984
2022,4,5,4/29/22,19,Fertilizers,775926.887,1161315.121,5,155185.3774,232263.0242
2022,4,5,4/29/22,19,Crop_Chemicals,116267.822,11892.167,5,23253.5644,2378.4334
2022,5,2,5/13/22,10,Wheat,78192.2,241057.447,10,7819.22,24105.7447
2022,5,2,5/13/22,10,Fertilizers,1262220.761,1644297.083,10,126222.0761,164429.7083
2022,5,2,5/13/22,10,Crop_Chemicals,223244.901,21711.051,10,22324.4901,2171.1051
2022,5,3,5/20/22,15,Wheat,41426.948,124908.27,5,8285.3896,24981.654
2022,5,3,5/20/22,15,Fertilizers,683451.174,912133.526,5,136690.2348,182426.7052
2022,5,3,5/20/22,15,Crop_Chemicals,86814.217,7174.084,5,17362.8434,1434.8168
2022,5,5,5/31/22,22,Wheat,63725.4,169025.844,7,9103.628571,24146.54914
2022,5,5,5/31/22,22,Fertilizers,1157898.977,1507407.151,7,165414.1396,215343.8787
2022,5,5,5/31/22,22,Crop_Chemicals,176218.079,16280.908,7,25174.01129,2325.844
2022,6,2,6/10/22,8,Wheat,89430.556,230197.691,8,11178.8195,28774.71138
2022,6,2,6/10/22,8,Fertilizers,1183007.837,1547409.335,8,147875.9796,193426.1669
2022,6,2,6/10/22,8,Crop_Chemicals,202395.58,18623.904,8,25299.4475,2327.988
2022,6,3,6/17/22,12,Wheat,48421.135,123586.586,4,12105.28375,30896.6465
2022,6,3,6/17/22,12,Fertilizers,578228.841,732719.777,4,144557.2103,183179.9442
2022,6,3,6/17/22,12,Crop_Chemicals,75667.865,6873.224,4,18916.96625,1718.306
2022,6,5,6/30/22,21,Wheat,106013.387,273327.426,9,11779.26522,30369.714
2022,6,5,6/30/22,21,Fertilizers,1526342.903,1866906.251,9,169593.6559,207434.0279
2022,6,5,6/30/22,21,Crop_Chemicals,359807.678,33806.966,9,39978.63089,3756.329556
2022,7,2,7/8/22,6,Wheat,73426.403,167439.2,6,12237.73383,27906.53333
2022,7,2,7/8/22,6,Fertilizers,969728.043,1202870.837,6,161621.3405,200478.4728
2022,7,2,7/8/22,6,Crop_Chemicals,247319.987,23175.016,6,41219.99783,3862.502667
2022,7,3,7/15/22,11,Wheat,23372.46,62058.08,5,4674.492,12411.616
2022,7,3,7/15/22,11,Fertilizers,887827.868,1174817.365,5,177565.5736,234963.473
2022,7,3,7/15/22,11,Crop_Chemicals,205714.309,21177.259,5,41142.8618,4235.4518
2022,7,4,7/22/22,16,Wheat,51528.797,127255.805,5,10305.7594,25451.161
2022,7,4,7/22/22,16,Fertilizers,766845.248,974716.52,5,153369.0496,194943.304
2022,7,4,7/22/22,16,Crop_Chemicals,179169.522,17065.938,5,35833.9044,3413.1876
2022,7,5,7/29/22,21,Wheat,61689.926,142746.863,5,12337.9852,28549.3726
2022,7,5,7/29/22,21,Fertilizers,702709.063,973895.354,5,140541.8126,194779.0708
2022,7,5,7/29/22,21,Crop_Chemicals,164466.195,18339.854,5,32893.239,3667.9708
2022,8,1,8/5/22,5,Wheat,62663.48,137331.685,5,12532.696,27466.337
2022,8,1,8/5/22,5,Fertilizers,562517.105,695819.305,5,112503.421,139163.861
2022,8,1,8/5/22,5,Crop_Chemicals,211374.263,20189.41,5,42274.8526,4037.882
2022,8,2,8/12/22,10,Wheat,44823.148,101940.365,5,8964.6296,20388.073
2022,8,2,8/12/22,10,Fertilizers,568915.253,791089.409,5,113783.0506,158217.8818
2022,8,2,8/12/22,10,Crop_Chemicals,223603.01,22377.592,5,44720.602,4475.5184
2022,8,3,8/19/22,15,Wheat,37520.244,86801.102,5,7504.0488,17360.2204
2022,8,3,8/19/22,15,Fertilizers,565124.487,789262.204,5,113024.8974,157852.4408
2022,8,3,8/19/22,15,Crop_Chemicals,185710.859,17567.108,5,37142.1718,3513.4216
2022,8,5,8/31/22,23,Wheat,91627.096,210572.318,8,11453.387,26321.53975
2022,8,5,8/31/22,23,Fertilizers,800507.369,1211353.56,8,100063.4211,151419.195
2022,8,5,8/31/22,23,Crop_Chemicals,318154.752,33094.913,8,39769.344,4136.864125
2022,9,2,9/9/22,6,Wheat,64331.487,149282.241,6,10721.9145,24880.3735
2022,9,2,9/9/22,6,Fertilizers,607333.754,923676.367,6,101222.2923,153946.0612
2022,9,2,9/9/22,6,Crop_Chemicals,209781.431,22343.529,6,34963.57183,3723.9215
2022,9,3,9/16/22,11,Wheat,32701.014,74869.397,5,6540.2028,14973.8794
2022,9,3,9/16/22,11,Fertilizers,474791.447,828293.464,5,94958.2894,165658.6928
2022,9,3,9/16/22,11,Crop_Chemicals,276323.393,25412.727,5,55264.6786,5082.5454
2022,9,4,9/23/22,16,Wheat,13162.666,31462.675,5,2632.5332,6292.535
2022,9,4,9/23/22,16,Fertilizers,543263.886,854713.978,5,108652.7772,170942.7956
2022,9,4,9/23/22,16,Crop_Chemicals,229000.922,22778.204,5,45800.1844,4555.6408
2022,9,5,9/30/22,21,Wheat,52628.58,117785.282,5,10525.716,23557.0564
2022,9,5,9/30/22,21,Fertilizers,425687.774,703760.756,5,85137.5548,140752.1512
2022,9,5,9/30/22,21,Crop_Chemicals,156316.585,15139.423,5,31263.317,3027.8846
2022,10,1,10/7/22,5,Wheat,26410.857,61959.626,5,5282.1714,12391.9252
2022,10,1,10/7/22,5,Fertilizers,392219.219,683065.298,5,78443.8438,136613.0596
2022,10,1,10/7/22,5,Crop_Chemicals,259557.575,24672.614,5,51911.515,4934.5228
2022,10,2,10/14/22,9,Wheat,24090.913,57307.85,4,6022.72825,14326.9625
2022,10,2,10/14/22,9,Fertilizers,250109.012,419594.785,4,62527.253,104898.6962
2022,10,2,10/14/22,9,Crop_Chemicals,167501.964,16310.198,4,41875.491,4077.5495
2022,10,3,10/21/22,14,Wheat,50912.474,122845.959,5,10182.4948,24569.1918
2022,10,3,10/21/22,14,Fertilizers,389792.086,667629.82,5,77958.4172,133525.964
